Tour,Series Name,Event Number,Event Name,Event Type,Buy-In,Fee,Total Cost,Guaranteed,Start Date,Start Time,Flight,Game Type,Format,Starting Stack,Blind Levels,Venue,City,State,Source URL
WSOP,"2026 World Series of Poker",11,"$1,500 Pot-Limit Omaha",side_event,1500,175,1675,,2026-05-30,3:00 PM,,PLO,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",12,"$50,000 High Roller No-Limit Hold'em",high_roller,50000,3000,53000,,2026-05-30,2:00 PM,,NLH,,150000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",13,"$1,500 No-Limit Hold'em",side_event,1500,175,1675,,2026-05-31,10:00 AM,,NLH,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",14,"$1,500 Razz",side_event,1500,175,1675,,2026-05-31,3:00 PM,,Razz,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",15,"$10,000 Pot-Limit Omaha Championship",championship,10000,600,10600,,2026-05-31,2:00 PM,,PLO,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",16,"$1,500 No-Limit 2-7 Lowball Draw",side_event,1500,175,1675,,2026-06-01,10:00 AM,,2-7 Draw,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",17,"$800 No-Limit Hold'em Deep Freeze",deepstack,800,120,920,,2026-06-01,10:00 AM,,NLH,Freezeout,40000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",18,"$10,000 Limit Hold'em Championship",championship,10000,600,10600,,2026-06-01,3:00 PM,,Limit,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",19,"$2,500 No-Limit Hold'em",side_event,2500,250,2750,,2026-06-02,10:00 AM,,NLH,,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",20,"$1,500 HORSE",side_event,1500,175,1675,,2026-06-02,3:00 PM,,HORSE,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",21,"$3,000 No-Limit Hold'em 6-Handed",side_event,3000,300,3300,,2026-06-02,2:00 PM,,NLH,6-Max,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",22,"$1,000 Super Turbo Bounty No-Limit Hold'em",bounty,1000,120,1120,,2026-06-03,10:00 AM,,NLH,Super Turbo Bounty,20000,20 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",23,"$10,000 Omaha Hi-Lo 8 or Better Championship",championship,10000,600,10600,,2026-06-03,3:00 PM,,O8,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",24,"$1,500 Pot-Limit Omaha Hi-Lo 8 or Better",side_event,1500,175,1675,,2026-06-03,10:00 AM,,PLO8,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",25,"$800 No-Limit Hold'em 8-Handed",side_event,800,120,920,,2026-06-04,10:00 AM,,NLH,8-Max,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",26,"$2,500 Mixed Triple Draw Lowball",side_event,2500,250,2750,,2026-06-04,3:00 PM,,Mixed,,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",27,"$100,000 High Roller No-Limit Hold'em",high_roller,100000,5000,105000,,2026-06-04,12:00 PM,,NLH,,300000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",28,"$1,500 No-Limit Hold'em Monster Stack",deepstack,1500,175,1675,,2026-06-05,10:00 AM,,NLH,,50000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",29,"$10,000 Seven Card Stud Championship",championship,10000,600,10600,,2026-06-05,3:00 PM,,Stud,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",30,"$1,500 Mixed No-Limit Hold'em/Pot-Limit Omaha",side_event,1500,175,1675,,2026-06-05,3:00 PM,,Mixed,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",31,"$1,000 Seniors No-Limit Hold'em Championship",seniors,1000,120,1120,,2026-06-06,10:00 AM,,NLH,,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",32,"$1,500 Super Turbo No-Limit Hold'em",turbo,1500,175,1675,,2026-06-06,5:00 PM,,NLH,Super Turbo,15000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",33,"$10,000 H.O.R.S.E. Championship",championship,10000,600,10600,,2026-06-06,3:00 PM,,HORSE,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",34,"$3,000 No-Limit Hold'em",side_event,3000,300,3300,,2026-06-07,10:00 AM,,NLH,,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",35,"$1,500 Pot-Limit Omaha 8-Handed",side_event,1500,175,1675,,2026-06-07,3:00 PM,,PLO,8-Max,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",36,"$250,000 Super High Roller No-Limit Hold'em",super_high_roller,250000,12500,262500,,2026-06-07,12:00 PM,,NLH,,750000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",37,"$1,000 Ladies No-Limit Hold'em Championship",ladies,1000,120,1120,,2026-06-08,10:00 AM,,NLH,,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",38,"$10,000 No-Limit 2-7 Lowball Draw Championship",championship,10000,600,10600,,2026-06-08,3:00 PM,,2-7 Draw,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",39,"$600 Pot-Limit Omaha Deepstack",deepstack,600,100,700,,2026-06-08,11:00 AM,,PLO,,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",40,"$1,500 Shootout No-Limit Hold'em",shootout,1500,175,1675,,2026-06-09,10:00 AM,,NLH,Shootout,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",41,"$3,000 Limit Hold'em 6-Handed",side_event,3000,300,3300,,2026-06-09,3:00 PM,,Limit,6-Max,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",42,"$800 No-Limit Hold'em Freezeout",side_event,800,120,920,,2026-06-09,10:00 AM,,NLH,Freezeout,30000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",43,"$10,000 Razz Championship",championship,10000,600,10600,,2026-06-10,3:00 PM,,Razz,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",44,"$2,500 No-Limit Hold'em Freezeout",side_event,2500,250,2750,,2026-06-10,10:00 AM,,NLH,Freezeout,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",45,"$1,500 Eight Game Mix",side_event,1500,175,1675,,2026-06-10,3:00 PM,,8-Game,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",46,"$5,000 No-Limit Hold'em 6-Handed",side_event,5000,450,5450,,2026-06-11,10:00 AM,,NLH,6-Max,50000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",47,"$1,500 Bounty No-Limit Hold'em",bounty,1500,175,1675,,2026-06-11,10:00 AM,,NLH,,25000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",48,"$10,000 Pot-Limit Omaha 8-Handed Championship",championship,10000,600,10600,,2026-06-11,3:00 PM,,PLO,8-Max,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",49,"$500 Salute to Warriors No-Limit Hold'em",charity,500,80,580,,2026-06-12,10:00 AM,,NLH,,25000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",50,"$1,500 No-Limit Hold'em",side_event,1500,175,1675,,2026-06-12,10:00 AM,,NLH,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",51,"$2,500 Nine Game Mix 6-Handed",side_event,2500,250,2750,,2026-06-12,3:00 PM,,Mixed,6-Max,35000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",52,"$10,000 Super Turbo Bounty No-Limit Hold'em",bounty,10000,600,10600,,2026-06-13,3:00 PM,,NLH,Super Turbo Bounty,40000,20 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",53,"$1,000 FLIP & GO No-Limit Hold'em",flip_go,1000,120,1120,,2026-06-13,12:00 PM,,NLH,Flip & Go,20000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",54,"$10,000 Seven Card Stud Hi-Lo 8 or Better Championship",championship,10000,600,10600,,2026-06-13,3:00 PM,,Stud8,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",55,"$3,000 Pot-Limit Omaha 6-Handed",side_event,3000,300,3300,,2026-06-14,10:00 AM,,PLO,6-Max,40000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",56,"$500 Freezeout No-Limit Hold'em",side_event,500,80,580,,2026-06-14,10:00 AM,,NLH,Freezeout,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",57,"$5,000 Mixed No-Limit Hold'em/Pot-Limit Omaha",side_event,5000,450,5450,,2026-06-14,3:00 PM,,Mixed,,50000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",SAT-1,"$1,000 WSOP Main Event Satellite",satellite,1000,120,1120,,2026-06-28,10:00 AM,,NLH,,10000,20 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",SAT-2,"$500 WSOP Main Event Mega Satellite",satellite,500,80,580,,2026-06-29,10:00 AM,,NLH,,8000,20 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",SAT-3,"$250 WSOP Main Event Mega Satellite",satellite,250,40,290,,2026-06-30,10:00 AM,,NLH,,6000,15 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",58,"WSOP $10,000 Main Event - No-Limit Hold'em World Championship",main_event,10000,500,10500,,2026-07-01,11:00 AM,,NLH,,60000,120 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",58,"WSOP Main Event - Day 1A",main_event,10000,500,10500,,2026-07-01,11:00 AM,A,NLH,,60000,120 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",58,"WSOP Main Event - Day 1B",main_event,10000,500,10500,,2026-07-02,11:00 AM,B,NLH,,60000,120 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",58,"WSOP Main Event - Day 1C",main_event,10000,500,10500,,2026-07-03,11:00 AM,C,NLH,,60000,120 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",58,"WSOP Main Event - Day 1D",main_event,10000,500,10500,,2026-07-04,11:00 AM,D,NLH,,60000,120 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",59,"$1,500 Pot-Limit Omaha Hi-Lo 8 or Better",side_event,1500,175,1675,,2026-07-05,10:00 AM,,PLO8,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",60,"$50,000 Poker Players Championship",championship,50000,2500,52500,,2026-07-05,12:00 PM,,8-Game,,150000,90 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",61,"$1,000 Super Seniors No-Limit Hold'em",seniors,1000,120,1120,,2026-07-06,10:00 AM,,NLH,,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",62,"$10,000 8-Handed No-Limit Hold'em Championship",championship,10000,600,10600,,2026-07-06,3:00 PM,,NLH,8-Max,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",63,"$3,000 Mystery Bounty No-Limit Hold'em",mystery_bounty,3000,300,3300,,2026-07-07,10:00 AM,,NLH,,40000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",64,"$10,000 Six-Handed No-Limit Hold'em Championship",championship,10000,600,10600,,2026-07-08,3:00 PM,,NLH,6-Max,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",65,"$600 Mixed No-Limit Hold'em/Pot-Limit Omaha Deepstack",deepstack,600,100,700,,2026-07-09,10:00 AM,,Mixed,,30000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",66,"$50,000 High Roller Pot-Limit Omaha",high_roller,50000,2500,52500,,2026-07-09,12:00 PM,,PLO,,150000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",67,"$1,000 Mini Main Event No-Limit Hold'em",deepstack,1000,120,1120,,2026-07-10,10:00 AM,,NLH,,30000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",68,"$25,000 High Roller Pot-Limit Omaha",high_roller,25000,1250,26250,,2026-07-10,3:00 PM,,PLO,,100000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",69,"$10,000 Pot-Limit Omaha Hi-Lo 8 or Better Championship",championship,10000,600,10600,,2026-07-11,3:00 PM,,PLO8,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",70,"$1,500 Limit 2-7 Lowball Triple Draw",side_event,1500,175,1675,,2026-07-11,3:00 PM,,2-7 Triple Draw,,25000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",71,"$500 The Closer No-Limit Hold'em",side_event,500,80,580,,2026-07-12,10:00 AM,,NLH,,25000,30 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",72,"$5,000 No-Limit Hold'em",side_event,5000,450,5450,,2026-07-12,3:00 PM,,NLH,,50000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",73,"$10,000 Limit 2-7 Lowball Triple Draw Championship",championship,10000,600,10600,,2026-07-13,3:00 PM,,2-7 Triple Draw,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",74,"$1,000 Tag Team No-Limit Hold'em",tag_team,1000,120,1120,,2026-07-14,10:00 AM,,NLH,Tag Team,20000,40 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/
WSOP,"2026 World Series of Poker",75,"$10,000 No-Limit Hold'em Main Event Championship",championship,10000,600,10600,,2026-07-14,3:00 PM,,NLH,,60000,60 min,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,https://www.wsop.com/2026/