Tour,Series Name,Short Name,Venue,City,State,Start Date,End Date,Total Events,Main Event Buy-In,Main Event GTD,Series Type,Featured,Source URL
Venetian,"DeepStack Extravaganza NYE 2026",DSE NYE,"The Venetian Resort Las Vegas",Las Vegas,NV,2025-12-24,2026-01-19,50,2500,1000000,major,Yes,https://www.venetianlasvegas.com/casino/poker/tournaments.html
Regional,"Borgata Winter Poker Open 2026",BWPO 2026,"Borgata Hotel Casino & Spa",Atlantic City,NJ,2026-01-02,2026-01-18,75,2700,2000000,major,Yes,https://www.theborgata.com/casino/poker/tournaments
WPT,"WPT Lucky Hearts Poker Open 2026",LHPO 2026,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,2026-01-06,2026-01-20,58,3500,2000000,major,Yes,https://www.worldpokertour.com/event/lucky-hearts-poker-open-2026/
WPT,"L.A. Poker Classic 2026",LAPC 2026,"Commerce Casino",Los Angeles,CA,2026-01-07,2026-03-01,65,10400,5000000,major,Yes,https://www.commercecasino.com/lapc/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",WSOPC Choctaw,"Choctaw Casino Resort",Durant,OK,2026-01-07,2026-01-19,45,1700,2000000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Golden State Poker Championship 2026",MSPT Golden State,"Sycuan Casino Resort",El Cajon,CA,2026-01-08,2026-01-19,13,1100,500000,circuit,No,https://msptpoker.com/schedule/
MSPT,"MSPT Colorado Showdown Series 2026",MSPT Colorado,"Monarch Casino Resort Spa",Black Hawk,CO,2026-01-14,2026-01-25,17,1100,300000,circuit,No,https://msptpoker.com/schedule/
Regional,"2026 Houston Trailblazer",Houston Trailblazer,"Multiple Houston Poker Rooms",Houston,TX,2026-01-14,2026-02-02,51,550,100000,regional,No,https://www.pokeratlas.com
Venetian,"DeepStack Showdown January/February 2026",DSS Jan/Feb,"The Venetian Resort Las Vegas",Las Vegas,NV,2026-01-19,2026-02-08,43,1600,500000,major,Yes,https://www.venetianlasvegas.com/casino/poker/tournaments.html
RGPS,"RunGood Poker Series at The Lodge 2026",RGPS Lodge,"The Lodge Card Club",Round Rock,TX,2026-01-19,2026-02-01,10,600,300000,circuit,No,https://rungoodgear.com/poker-series/
RGPS,"RunGood Poker Series Tulsa Passport 2026",RGPS Tulsa,"Hard Rock Hotel & Casino Tulsa",Catoosa,OK,2026-01-20,2026-01-25,9,600,200000,circuit,No,https://rungoodgear.com/poker-series/
WSOPC,"WSOP Circuit Tunica (Winter) 2026",WSOPC Tunica,"Horseshoe Tunica",Robinsonville,MS,2026-01-22,2026-02-02,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Diamond Poker Championship 2026",MSPT Diamond,"Talking Stick Resort",Scottsdale,AZ,2026-01-24,2026-02-01,5,1100,200000,circuit,No,https://msptpoker.com/schedule/
PGT,"PokerGO Tour Kickoff 2026",PGT Kickoff,"PokerGO Studio",Las Vegas,NV,2026-01-26,2026-01-31,6,25000,,major,Yes,https://www.pokergo.com/pgt/
WSOPC,"WSOP Circuit Pompano 2026",WSOPC Pompano,"Pompano Park Racing",Pompano Beach,FL,2026-01-29,2026-02-09,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
PGT,"PokerGO Tour Mixed Games 2026",PGT Mixed,"PokerGO Studio",Las Vegas,NV,2026-02-03,2026-02-10,10,10000,,major,Yes,https://www.pokergo.com/pgt/
Regional,"Blizzard on the Beach 2026",Blizzard 2026,"bestbet Jacksonville",Jacksonville,FL,2026-02-05,2026-02-16,10,1100,400000,regional,No,https://www.bestbetjax.com/poker/tournaments
WPT,"WPT Venetian Las Vegas Spring Festival 2026",WPT Venetian Spring,"The Venetian Resort Las Vegas",Las Vegas,NV,2026-02-09,2026-02-24,33,5000,3000000,major,Yes,https://www.venetianlasvegas.com/casino/poker/tournaments.html
MSPT,"MSPT Ohio State Poker Championship 2026",MSPT Ohio,"Jack Cleveland Casino",Cleveland,OH,2026-02-10,2026-02-16,10,1100,400000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit Cherokee (Winter) 2026",WSOPC Cherokee,"Harrah's Cherokee",Cherokee,NC,2026-02-12,2026-02-23,18,1700,1500000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Club Poker Championship 2026",MSPT Club,"Potawatomi Casino",Milwaukee,WI,2026-02-17,2026-02-22,10,1100,300000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit Baltimore/DC 2026",WSOPC Baltimore,"Horseshoe Baltimore",Baltimore,MD,2026-02-19,2026-03-02,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
Regional,"Rising Star 2026",Rising Star,"Bay 101 Casino",San Jose,CA,2026-02-20,2026-03-02,9,1650,500000,regional,No,https://www.bay101.com/poker
WSOPC,"WSOP Circuit Chicagoland (Winter) 2026",WSOPC Chicago,"Horseshoe Hammond",Hammond,IN,2026-02-26,2026-03-09,18,1700,2000000,circuit,No,https://www.wsop.com/circuit/
Regional,"2026 Tampa Poker Classic",TPC 2026,"Seminole Hard Rock Tampa",Tampa,FL,2026-03-04,2026-03-16,15,1100,500000,major,Yes,https://www.seminolehardrocktampa.com/poker/
WSOPC,"WSOP Circuit Tulsa 2026",WSOPC Tulsa,"Hard Rock Hotel & Casino Tulsa",Catoosa,OK,2026-03-05,2026-03-16,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Grand Falls Spring 2026",MSPT Grand Falls,"Grand Falls Casino",Larchwood,IA,2026-03-11,2026-03-15,10,1100,200000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit Central New York 2026",WSOPC CNY,"Turning Stone Resort Casino",Verona,NY,2026-03-12,2026-03-23,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Festival Spring Riverside 2026",MSPT Riverside,"Riverside Casino & Golf Resort",Riverside,IA,2026-03-17,2026-03-22,10,1100,300000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit Las Vegas (Spring) 2026",WSOPC Vegas,"Rio All-Suite Hotel & Casino",Las Vegas,NV,2026-03-19,2026-03-30,18,1700,1500000,circuit,No,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Chicago (Spring) 2026",WSOPC Chicago Spring,"Grand Victoria Casino",Elgin,IL,2026-04-02,2026-04-13,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Lake Tahoe (Spring) 2026",WSOPC Tahoe,"Harrah's Lake Tahoe",Stateline,NV,2026-04-16,2026-04-27,18,1700,500000,circuit,No,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Tunica (Spring) 2026",WSOPC Tunica Spring,"Horseshoe Tunica",Robinsonville,MS,2026-04-16,2026-04-27,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
Regional,"L.I.P.S. Women in Poker Spring Festival 2026",LIPS Spring,"Various Las Vegas",Las Vegas,NV,2026-04-20,2026-04-26,10,400,,regional,No,https://www.lipspoker.org
MSPT,"MSPT Festival Spring Potawatomi 2026",MSPT Potawatomi,"Potawatomi Casino",Milwaukee,WI,2026-04-28,2026-05-03,10,1100,300000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit Cherokee (Spring) 2026",WSOPC Cherokee Spring,"Harrah's Cherokee",Cherokee,NC,2026-05-07,2026-05-18,18,1700,1500000,circuit,No,https://www.wsop.com/circuit/
MSPT,"MSPT Michigan Poker State Championship 2026",MSPT Michigan,"FireKeepers Casino Hotel",Battle Creek,MI,2026-05-12,2026-05-17,10,1100,400000,circuit,No,https://msptpoker.com/schedule/
WSOPC,"WSOP Circuit New Orleans (Spring) 2026",WSOPC NOLA,"Harrah's New Orleans",New Orleans,LA,2026-05-14,2026-05-25,18,1700,1000000,circuit,No,https://www.wsop.com/circuit/
WSOP,"2026 World Series of Poker",WSOP 2026,"Horseshoe Las Vegas / Paris Las Vegas",Las Vegas,NV,2026-05-26,2026-07-15,99,10000,,major,Yes,https://www.wsop.com/2026/
Regional,"2026 Tampa Signature Series",TSS 2026,"Seminole Hard Rock Tampa",Tampa,FL,2026-07-15,2026-07-28,15,1100,500000,major,Yes,https://www.seminolehardrocktampa.com/poker/
MSPT,"MSPT Iowa Poker State Championship 2026",MSPT Iowa,"Riverside Casino & Golf Resort",Riverside,IA,2026-07-21,2026-07-26,10,1100,400000,circuit,No,https://msptpoker.com/schedule/
MSPT,"MSPT Colorado Poker State Championship 2026",MSPT Colorado Summer,"Monarch Casino Resort Spa",Black Hawk,CO,2026-07-22,2026-08-02,10,1100,400000,circuit,No,https://msptpoker.com/schedule/
MSPT,"MSPT Wisconsin Poker State Championship 2026",MSPT Wisconsin,"Potawatomi Casino",Milwaukee,WI,2026-09-22,2026-09-27,10,1100,400000,circuit,No,https://msptpoker.com/schedule/
MSPT,"MSPT Spade Poker Championship 2026",MSPT Spade,"FireKeepers Casino Hotel",Battle Creek,MI,2026-10-13,2026-10-18,10,1100,300000,circuit,No,https://msptpoker.com/schedule/
MSPT,"MSPT Fall Festival 2026",MSPT Fall,"Riverside Casino & Golf Resort",Riverside,IA,2026-11-03,2026-11-08,10,1100,300000,circuit,No,https://msptpoker.com/schedule/