VENUE,WEBSITE,ADDRESS,CITY,STATE,PHONE,TYPE,TOURNAMENTS,PokerAtlasURL,HOURS
Queen of Hearts Card Club,-,1421 Broadwater Ave,Billings,MT,-,Standalone Card Room,No,,Not available
Red Door Lounge,-,3875 Grand Ave,Billings,MT,(406) 656-6410,Standalone Card Room,No,,Not available
Claim Jumper Casino,claimjumpermissoula.com,1600 W Broadway,Missoula,MT,(406) 543-0545,Standalone Card Room,No,,Not available
Silvertip Casino,silvertipcasino.com,2230 Montana Ave,Missoula,MT,(406) 723-5353,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/silvertip-casino-missoula,Not available
Gray Wolf Peak Casino,graywolfpeakcasino.com,20750 US-93,Missoula,MT,(406) 726-3778,Standalone Card Room,No,,Not available
Stockman's Bar Poker Room,-,125 W Front St,Missoula,MT,(406) 543-3330,Standalone Card Room,No,,Not available
VFW Poker Room Missoula,-,245 W Main St,Missoula,MT,(406) 728-7789,Standalone Card Room,No,,Not available
Westside Lanes Poker,-,1615 Wyoming St,Missoula,MT,(406) 721-5263,Standalone Card Room,No,,Not available
Nickels Gaming Parlour,-,2100 N Last Chance Gulch,Helena,MT,(406) 442-3390,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/nickels-helena,TBD - TBD daily
Rialto Bar,-,52 N Last Chance Gulch,Helena,MT,(406) 442-2533,Standalone Card Room,No,,Not available
Miller's Crossing,-,54 N Last Chance Gulch,Helena,MT,(406) 442-3290,Standalone Card Room,No,,Not available
Derby Lane Poker Room,derbylane.com,10490 Gandy Blvd N,St. Petersburg,FL,(727) 812-3339,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/derby-lane-st-petersburg,All Day Sun/Fri/Sat; 10:00am - 4:00am Mon-Thu
Oxford Downs Poker Room,oxforddowns.com,17996 US-301,Summerfield,FL,(352) 245-2999,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/oxford-downs-summerfield,24/7
Orange City Racing & Card Club,orangecitypoker.com,822 Saxon Blvd,Orange City,FL,(386) 252-6484,Standalone Card Room,Yes,,Not available
Daytona Racing & Card Club,daytonagreyhound.com,960 S Williamson Blvd,Daytona Beach,FL,(386) 252-6484,Standalone Card Room,Yes,,Not available
Ebro Poker Room,goebro.com,5425 FL-79,Ebro,FL,(850) 234-3943,Standalone Card Room,Yes,,Not available
Silks Poker Tampa Bay Downs,tampabaydowns.com,11225 Race Track Rd,Tampa,FL,(813) 855-4401,Standalone Card Room,Yes,,Not available
TGT Poker & Racebook,tgtpoker.com,8300 N Nebraska Ave,Tampa,FL,(813) 932-4313,Standalone Card Room,Yes,,Not available
One-Eyed Jacks Poker,skcpoker.com,5400 Bradenton Rd,Sarasota,FL,(941) 355-7744,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/one-eyed-jacks-sarasota,9:00am - 3:00am Fri/Sat; 10:00am - 2:00am Sun-Thu
bestbet Jacksonville,bestbetjax.com,201 Monument Rd,Jacksonville,FL,(904) 646-0001,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bestbet-jacksonville-jacksonville,Not available
bestbet Orange Park,bestbetjax.com,455 Park Ave,Orange Park,FL,(904) 646-0001,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bestbet-orange-park,24/7
bestbet St. Augustine,bestbetjax.com,800 Marketplace Dr,St. Augustine,FL,(904) 646-0001,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bestbet-st-augustine,10:00am - 4:00am daily
Palm Beach Kennel Club,pbkennelclub.com,1111 N Congress Ave,West Palm Beach,FL,(561) 683-2222,Standalone Card Room,Yes,,Not available
Creek Entertainment,creekentertainment.com,449330 State Rd 12,Gretna,FL,(850) 875-6930,Standalone Card Room,Yes,,12:00pm - 4:00am Sun-Thu; 12:00pm - 6:00am Fri/Sat
Pensacola Greyhound,pensacolagreyhoundtrack.com,951 Dog Track Rd,Pensacola,FL,(850) 455-8531,Standalone Card Room,Yes,,Not available
The Last Frontier Casino,lastfrontiercasino.com,105 W 4th Ave,La Center,OR,(360) 575-1485,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/the-last-frontier-la-center,24/7
Final Table Poker Club,finaltablepoker.com,2620 SE 122nd Ave,Portland,OR,(503) 760-7460,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/final-table-poker-club-portland,Not available
Medford Social Club Poker Room,-,-,Medford,OR,-,Standalone Card Room,Yes,,Not available
Oregon Poker Club - Kit Kat Club,-,-,Portland,OR,-,Standalone Card Room,Yes,,8:00pm - 2:30am daily
Oregon Poker Club - Rialto Pool Room,-,-,Portland,OR,-,Standalone Card Room,Yes,,4:00pm - 2:30am daily
Oregon Poker Club - Stadiums Sports Bar,-,-,Portland,OR,-,Standalone Card Room,Yes,,12:00pm - TBD daily
The Club House,-,-,Roseburg,OR,-,Standalone Card Room,No,,3:00pm - 12:00am Sun; 5:00pm - 2:00am Mon; closed Tue; 5:00pm - 2:00am Wed/Thu; 6:30pm - 5:00am Fri; 4:30pm - 2:00am Sat
The Diamond Poker Club,-,-,Albany,OR,-,Standalone Card Room,No,,12:00pm - 12:00am Sun; 6:00pm - 12:00am Mon; 11:00am - 12:00am Tue; 6:00pm - 12:00am Wed; 11:00pm - 12:00am Thu; 12:00pm - 2:00am Fri; 6:00pm - 2:00am Sat
The Game,thegamepoker.com,901 SW Capitol Hwy,Portland,OR,(503) 244-3111,Standalone Card Room,Yes,,10:45am - 2:00am daily
Grants Pass Poker Room,-,-,Grants Pass,OR,-,Standalone Card Room,No,,Not available
High Mountain Poker,-,-,Eugene,OR,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/high-mountain-poker-eugene,Not available
Full House Poker,fullhousepokereugene.com,2270 W 11th Ave,Eugene,OR,(541) 505-8664,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/full-house-poker-eugene,4:00pm - 2:00am daily
Bend Poker Room,-,-,Bend,OR,-,Standalone Card Room,No,,4:30pm - 1:00am Mon-Sat; closed Sun except first Sun (2:00pm - 11:00pm)
International Poker Eugene,-,-,Eugene,OR,-,Standalone Card Room,No,,Not available
Manchester Poker,-,-,Manchester,NH,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/manchester-poker,8:00am - 1:00am Sun-Wed; 8:00am - 4:00am Thu-Sat
Chasers Poker Room,chaserspokerroom.com,7 Veterans Memorial Pkwy,Salem,NH,(603) 893-4530,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/chasers-poker-room-salem,Not available
Gate City Poker Room,gatecitycasino.com,55 Northeastern Blvd,Nashua,NH,(603) 943-7333,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/gate-city-nashua,9:00am - 1:00am Sun-Thu; 9:00am - 2:00am Fri-Sat
Nash Casino Poker Room,-,-,Nashua,NH,-,Standalone Card Room,No,,Not available
Lebanon Poker Room,-,-,Lebanon,NH,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/lebanon-poker-room,8:00am - 1:00am daily
The Brook Poker Room,livefreeandplay.com,319 New Zealand Rd,Seabrook,NH,(603) 474-3065,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/the-brook-seabrook,8:00am - 1:00am Sun-Wed; 8:00am - 2:00am Thu-Sat
Filotimo Casino Manchester,filotimocasino.com,1279 S Willow St,Manchester,NH,(603) 668-6591,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/manchester-poker,8:00am - 1:00am Sun-Wed; 8:00am - 4:00am Thu-Sat
Filotimo Casino Dover,filotimocasino.com,887 Central Ave,Dover,NH,(603) 742-9632,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-dover,10:00am - 1:00am Sun-Thu; 10:00am - 2:00am Fri-Sat
The River Casino,therivercasino.com,53 High St,Nashua,NH,(603) 881-5555,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/the-river-casino-nashua,Not available
Lakes Region Casino,lakesregioncasino.com,1265 Laconia Rd,Belmont,NH,(603) 527-8316,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/lakes-region-casino-belmont,12:00pm - 10:00pm Sun-Tue; 12:00pm - 1:00am Wed-Sat
Concord Casino,concordcasinonh.com,67 S Main St,Concord,NH,(603) 228-2882,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/concord-casino,Not available
Revo Casino - Conway,revocasino.com,1601 White Mountain Hwy,Conway,NH,(603) 447-6007,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-conway,8:00am - 1:00am Sun-Thu; 8:00am - 2:00am Fri-Sat
Revo Casino - Keene,revocasino.com,172 Emerald St,Keene,NH,(603) 357-6033,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-keene,10:00am - 1:00am Sun-Thu; 10:00am - 2:00am Fri-Sat
Revo Casino - Lebanon,revocasino.com,369 Miracle Mile,Lebanon,NH,(603) 448-7777,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/lebanon-poker-room,8:00am - 1:00am daily
Burton Eagles Poker Room,-,-,Burton,MI,-,Charity Room,Yes,,Not available
DiCicco's Poker Room,-,-,Shelby Township,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township,Not available
G's Charity Poker,-,-,Shelby Township,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/gs-charity-poker-shelby-township,11:00am - 1:30am Thu-Sat; closed Sun-Wed
Kings Poker Room,-,-,Grand Rapids,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/kings-poker-room-grand-rapids,11:30am - 1:30am Sun/Sat; 4:00pm - 1:30am Thu/Fri; closed Mon-Wed
Muskegon Poker Room,-,-,Muskegon,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/muskegon-poker-room-muskegon,Not available
Owosso Poker Room,-,-,Owosso,MI,-,Charity Room,Yes,,Not available
Paradise Poker,-,-,Utica,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/paradise-poker-utica,11:00am - 2:00am Mon/Tue; 11:00am - 6:00pm Wed/Thu; closed Fri-Sun
Rosemack Poker Room,-,-,Roseville,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/rosemack-roseville,11:00am - 2:00am Wed-Sat; closed Sun-Tue
Roundtree Poker Room,-,-,Ypsilanti,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/roundtree-poker-room-ypsilanti,Not available
The Event Spot Poker Room,-,-,Clawson,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/event-spot-poker-room-clawson,Not available
The Saginaw Poker Room,-,-,Saginaw,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/saginaw-poker-room-saginaw,Not available
Thompson Poker Room,-,-,Ypsilanti,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/thompson-poker-room-ypsilanti,Not available
Waterford Card Room,-,-,Waterford,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/waterford-card-room-waterford,Not available
Krazy Kopz at Vision Lanes,-,-,Westland,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/krazy-kopz-vision-lanes-westland,Not available
Krazy Kopz @ The Ivory Room,-,-,Westland,MI,-,Charity Room,Yes,,11:00am - 2:00am Mon/Wed; closed Thu-Sun
Legends Poker Place of Metamora,-,-,Metamora,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/legends-poker-place-of-metamora,Not available
Momo's Poker Room,-,-,Taylor,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/momo-s-poker-room-taylor,Not available
Ace High Poker Club,-,-,Oxford,MI,-,Charity Room,Yes,https://www.pokeratlas.com/poker-room/ace-high-poker-club-oxford,2:00pm - 3:00am Sun/Sat; 6:00pm - 3:00am Mon-Fri
Chicago Charitable Games,chicagocharitablegames.com,Various VFW halls in suburbs,Chicago Area,IL,(630) 901-9797,Charity Poker,No,https://www.pokeratlas.com/poker-room/ccg-poker-chicago,Not available
Rockford Charitable Games (RCG Poker),rcgpoker.com,5615 N Cumberland Ave,Chicago,IL,(815) 965-7767,Charity Poker,No,https://www.pokeratlas.com/poker-room/rockford-charity-games-rockford,Not available
Central Illinois Charitable Games (CICG Poker),centralillinoischaritablegames.com,807 E Southline Rd (Moose Lodge #729),Tuscola,IL,(309) 585-2424,Charity Poker,No,,12:00pm - 12:00am Sun; 4:00pm - 1:00am Wed; 2:00pm - 1:00am Thu-Sat; closed Mon/Tue
Windy City Poker Championship,windycity.poker,Various south suburbs,Orland Park,IL,(708) 935-2861,Charity Poker,No,,Not available
Play Poker Chicago,playpokerchicago.com,Various northwest suburbs,Chicago Area,IL,(847) 989-2424,Charity Poker,No,,Not available
The Event Spot,-,Lansing/Delta Township area,Lansing,MI,(517) 827-2768,Charity Poker,No,https://www.pokeratlas.com/poker-room/event-spot-poker-room-clawson,Not available
Krazy Kopz at Vision Lanes,-,38250 Ford Rd,Westland,MI,(734) 641-8180,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/krazy-kopz-vision-lanes-westland,Not available
Ciccarelli's Sports Bar,ciccarellis-22sportsbar.com,46793 Hayes Rd,Shelby Township,MI,(586) 247-2223,Charity Poker,No,https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township,Not available
DiCicco's Poker Room,-,46793 Hayes Rd,Shelby Township,MI,(586) 247-2223,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/dicicco-s-poker-room-shelby-township,Not available
G's Charity Poker,-,56129 Van Dyke Ave,Shelby Township,MI,(810) 246-0089,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/gs-charity-poker-shelby-township,11:00am - 1:30am Thu-Sat; closed Sun-Wed
Huron Poker Room (Friends of Huron),facebook.com/HuronPoker,American Legion Post 57,Oscoda,MI,(989) 739-1411,Charity Poker,No,,Not available
5 Star Charity Poker,facebook.com/5StarCharityPoker,2666 Metro Pkwy,Sterling Heights,MI,(586) 854-2271,Charity Poker,No,,Not available
Northway Lanes Poker Room,bowlnorthway.com,1751 Evanston Ave,Muskegon,MI,(231) 773-4567,Charity Poker,No,,Not available
All Star Poker,-,-,Walled Lake,MI,-,Charity Poker,No,,Not available
300 Bowl Card Room,300bowl.com,100 S Cass Lake Rd,Waterford,MI,(248) 682-6300,Charity Poker,No,,Not available
MO's Poker Room,-,Telegraph/Van Born area,Dearborn Heights,MI,-,Charity Poker,No,,Not available
Legends Poker Place of Metamora,-,3546 S Lapeer Rd,Metamora,MI,(810) 678-3801,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/legends-poker-place-of-metamora,Not available
Momo's Poker Room,-,-,Taylor,MI,-,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/momo-s-poker-room-taylor,Not available
Rosemack Poker Room,-,-,Roseville,MI,-,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/rosemack-roseville,11:00am - 2:00am Wed-Sat; closed Sun-Tue
Roundtree Poker Room,-,-,Ypsilanti,MI,-,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/roundtree-poker-room-ypsilanti,Not available
Thompson Poker Room,-,-,Ypsilanti,MI,-,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/thompson-poker-room-ypsilanti,Not available
Waterford Card Room,-,-,Waterford,MI,-,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/waterford-card-room-waterford,Not available
Burton Eagles Poker Room,-,-,Burton,MI,-,Charity Poker,Yes,,Not available
Krazy Kopz @ The Ivory Room,-,-,Westland,MI,-,Charity Poker,Yes,,11:00am - 2:00am Mon/Wed; closed Thu-Sun
Poker Zone,-,-,Holland,MI,-,Charity Poker,No,,Not available
King's Charity Poker Room,-,6209 Division Ave S,Grand Rapids,MI,-,Charity Poker,No,,Not available
Cheers Poker Room & Casino,cheerspokernh.com,286 S Main St,Manchester,NH,(603) 606-1766,Charity Poker,No,https://www.pokeratlas.com/poker-room/cheers-poker-room-manchester,Not available
The Brook,livefreeandplay.com,319 New Zealand Rd,Seabrook,NH,(603) 474-3065,Charity Poker,No,https://www.pokeratlas.com/poker-room/the-brook-seabrook,8:00am - 1:00am Sun-Wed; 8:00am - 2:00am Thu-Sat
Chasers Poker Room,chaserspokerroom.com,7 Veterans Memorial Pkwy,Salem,NH,(603) 912-4604,Charity Poker,No,https://www.pokeratlas.com/poker-room/chasers-poker-room-salem,Not available
Aces and Eights Casino,acesandeightscasinos.com,169 Ocean Blvd,Hampton,NH,(603) 926-6222,Charity Poker,No,,Not available
Beach Club Casino,-,81 Ocean Blvd,Hampton,NH,-,Charity Poker,No,,Not available
Casino Salem,-,99 Rockingham Park Blvd,Salem,NH,-,Charity Poker,No,,Not available
Filotimo Casino Manchester,filotimocasino.com,1279 S Willow St,Manchester,NH,(603) 668-6591,Charity Poker,No,https://www.pokeratlas.com/poker-room/manchester-poker,8:00am - 1:00am Sun-Wed; 8:00am - 4:00am Thu-Sat
Filotimo Casino Dover,filotimocasino.com,887 Central Ave,Dover,NH,(603) 742-9632,Charity Poker,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-dover,10:00am - 1:00am Sun-Thu; 10:00am - 2:00am Fri-Sat
Gate City Casino,gatecitycasino.com,55 Northeastern Blvd,Nashua,NH,(603) 943-7333,Charity Poker,No,https://www.pokeratlas.com/poker-room/gate-city-nashua,9:00am - 1:00am Sun-Thu; 9:00am - 2:00am Fri-Sat
The River Casino,therivercasino.com,53 High St,Nashua,NH,(603) 881-5555,Charity Poker,No,https://www.pokeratlas.com/poker-room/the-river-casino-nashua,Not available
Lakes Region Casino,lakesregioncasino.com,1265 Laconia Rd,Belmont,NH,(603) 267-7778,Charity Poker,No,https://www.pokeratlas.com/poker-room/lakes-region-casino-belmont,12:00pm - 10:00pm Sun-Tue; 12:00pm - 1:00am Wed-Sat
Concord Casino,concordcasinonh.com,67 S Main St,Concord,NH,(603) 228-2882,Charity Poker,No,https://www.pokeratlas.com/poker-room/concord-casino,Not available
Revo Casino Conway,revocasino.com,1601 White Mountain Hwy,Conway,NH,(603) 447-6007,Charity Poker,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-conway,Not available
Revo Casino Keene,revocasino.com,172 Emerald St,Keene,NH,(603) 357-6033,Charity Poker,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-keene,Not available
Revo Casino Lebanon,revocasino.com,369 Miracle Mile,Lebanon,NH,(603) 448-7777,Charity Poker,No,https://www.pokeratlas.com/poker-room/lebanon-poker-room,Not available
Seabrook Poker Room,-,-,Seabrook,NH,-,Charity Poker,No,,Not available
Canterbury Park Card Club,canterburypark.com,1100 Canterbury Rd,Shakopee,MN,(952) 445-6870,Charity Poker,No,,Not available
American Legion East Grand Forks,-,-,East Grand Forks,MN,-,Charity Poker,No,,Not available
Beef O' Brady's St Francis,beefs.com,23212 St Francis Blvd NW,St Francis,MN,(763) 753-8888,Charity Poker,No,,Not available
Billy's Corner Bar & Grill,-,Various locations,Various,MN,-,Charity Poker,No,,Not available
Billy's Rockford Bar,-,-,Rockford,MN,-,Charity Poker,No,,Not available
Sure Bet,-,Minneapolis area,Minneapolis,MN,-,Charity Poker,No,,Not available
Fortune Bay Resort Casino Poker,fortunebay.com,1430 Bois Forte Rd,Tower,MN,(800) 992-7529,Charity Poker,No,,4:00pm - TBD Fri; 12:00pm - TBD Sat; closed Sun-Thu
Mad River Poker Club,madriverpoker.com,Greater Dayton area,Dayton,OH,-,Charity Poker,No,,12:00pm - TBD Fri; 2:00pm - TBD Sun; 3:00pm - TBD Mon/Tue/Wed/Sat
Shark Tank Poker Club,sharktankpokerclub.com,1508 Bethel Rd,Columbus,OH,(614) 459-2676,Charity Poker,No,,Not available
Big Stack Poker Club,bigstackpokerclub.com/charities,Northeast OH (traveling),Northeast Ohio,OH,-,Charity Poker,No,,Traveling/event-based
Buckeye Charity Poker,-,28301 Chardon Rd,Willoughby Hills,OH,-,Charity Poker,No,,Not available
Nautica Charity Poker Festivals,-,2249 Elm St,Cleveland,OH,-,Charity Poker,No,,Not available
Chagrin Falls Dads' Club Poker Tournament,chagrindads.com,83 N Main St,Chagrin Falls,OH,-,Charity Poker,No,,Not available
Bexley Community Foundation Poker Fundraiser,bexley.org/poker,Jeffrey Mansion,Bexley,OH,-,Charity Poker,No,,Not available
The Joker Club,-,Akron area,Akron,OH,-,Charity Poker,No,,Not available
Reserve Poker Club,-,Statewide,Various,OH,-,Charity Poker,No,,Not available
Grinder's Poker Club,-,-,Zanesville,OH,-,Charity Poker,No,,Not available
Elks Lodges (Various),elks.org,Various locations,Various,WI,-,Charity Poker,No,,Not available
Little Kings and Queens,-,-,Buford,GA,-,Charity Poker,No,,Not available
Elks #155 Charity Casino,-,-,Fort Wayne,IN,-,Charity Poker,No,,Not available
Central Valley Gaming (Turlock Poker Room),turlockpoker.com,2321 W Main St,Turlock,CA,(209) 668-1010,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/turlock-poker-room,8:00am - 4:00am Sun-Thu; All Day Fri/Sat
